circuit,ER,area,delay
zalu4,0.00702,2303,49.2
zalu4,0.00737,2286,47
zalu4,0.00758,2296,49.2
zalu4,0.00765,2280,46.6
zalu4,0.0077,2291,49.2
zalu4,0.00801,2276,46.6
zalu4,0.00803,2277,46.6
zalu4,0.00822,2273,46.6
zalu4,0.00827,2270,46.5
zalu4,0.00845,2265,46.5
zalu4,0.00882,2246,46.5
zalu4,0.00904,2241,46.5
zalu4,0.00913,2224,46.6
zalu4,0.00913,2210,46.6
zalu4,0.00926,2236,46.5
zalu4,0.00942,2219,46.6
zalu4,0.00975,2200,46.6
zalu4,0.00995,2196,46.8
zalu4,0.01,2183,46.8
zalu4,0.01011,2188,46.8
zalu4,0.01019,2182,46.8
zalu4,0.01061,2188,46.8
zalu4,0.0108,2165,46
zalu4,0.01083,2176,45.8
zalu4,0.01099,2135,46
zalu4,0.01103,2160,46
zalu4,0.01111,2149,46.2
zalu4,0.01144,2140,46
zalu4,0.0115,2133,46
zalu4,0.01168,2100,41.4
zalu4,0.01176,2120,45.8
zalu4,0.01207,2113,41.4
zalu4,0.01225,2103,41.4
zalu4,0.01234,2110,41.4
zalu4,0.01274,2092,41.1
zalu4,0.01276,2106,41.4
zalu4,0.01282,2065,40.8
zalu4,0.01286,2063,40.8
zalu4,0.01291,2081,41.1
zalu4,0.01314,2065,40.8
zalu4,0.01317,2058,40.8
zalu4,0.01344,2065,40.8
zalu4,0.01364,2022,46.9
zalu4,0.01382,2011,47
zalu4,0.01386,2034,47.1
zalu4,0.01421,2047,47.1
zalu4,0.01443,2032,47.1
zalu4,0.01443,2017,47.1
zalu4,0.0145,2000,47
zalu4,0.01463,2023,46.9
zalu4,0.01508,2005,47
zalu4,0.0153,1975,50.3
zalu4,0.01551,1986,46.9
zalu4,0.01578,1956,50.3
zalu4,0.01586,1949,43.8
zalu4,0.01608,1948,43.8
zalu4,0.01609,1962,50.3
zalu4,0.01694,1903,39.7
zalu4,0.01696,1923,39.8
zalu4,0.01709,1899,45.2
zalu4,0.01715,1903,39.7
